open,high,volume,low,close,date,adjclose
67.51000213623047,68.43000030517578,3930300,67.12008274658203,68.25,2019-01-02,66.26964569091797
68.11080061035156,68.11080061035156,5407700,67.12000274658203,67.30000305175781,2019-01-03,65.34721374511719 
68.0,68.1500015258789,5103400,67.66999816894531,67.9800033569336,2019-01-04,66.00748443603516
68.58999633789862,68.58999633789062,5907000,67.44999694824219,67.69088244140625,2019-01-07,65.72589874267578
68.0,68.19000244140625,7337200,67.33000183105469,67.81999969482422,2019-01-08,65.85212707519531
67.5,68.41000366210938,5124400,67.37999725341797,68.13999938964844,2019-01-09,66.82299041748047
68.19999694824219,68.87008274658203,3953000,67.77999877929688,68.80088305175781,2019-01-10,67.4702377319336
68.83999633789062,68.86888061035156,3519700,68.33000183105469,68.860000610356,2019-11-11,67.5290756225586
68.73999786376953,69.05000305175781,3248388,68.55999755859375,68.6500015258789,2019-01-14,67.32313537597656
68.55080305175781,69.54000091552734,2665500,68.41999816894531,69.33001815,2019-01-15,67.989990234375
69.8499984741211,70.9080015258789,4320500,69.8499984741211,70.62999725341797,2019-01-16,69.26485443115234
70.41999816894531,71.37080274658203,3382200,70.33008183105469,71.3399963378962,2019-01-16,69.9611358645781
71.91020366210938,72.58080183105469,4799300,71.80088305175781,72.33999633789062,2019-01-18,70.94181060791016
72.58000183105469,72.9008015258789,1476108,72.08999633789062,72.9008015258789,2019-01-21,71.499896858586 
72.4000015258789,72.55999755859375,4053600,71.7300033569336,72.41000366210938,2019-01-22,71.01045989990234 
72.44999694824219,73.0999984741211,3067000,72.1500015258789,72.19999694824219,2019-01-23,70.8045120232578
72.12080274658203,72.79888091552734,2512400,72.05999755859375,72.66080366210938,2019-01-24,71.25563049316486 
73.0,73.02999877929688,1908100,72.52999877929688,72.83000183105469,2019-01-25,71.4223403930664 
724008015258789,73.18000030517578,1971000,72.33999633789962,73.16999816894531,2019-01-28,71.75576782226562 
73.37999725341797,73.91999816894531,3106200,73.12000274658203,73.70999908447266,2019-01-29,72.28533172607422
73.75,73.94000244140625,3368400,73.52999877929688,73.730033569336,2019-01-30,72.3049545288086
